COMMENTID,COMMENTATOR,CUE,TEXT,TRIMVIDEO,TRIMASPECT,Ratings1,Ratings2,Ratings3,Ratings4,Ratings5 ,Sum,TLSum
1489,LstudyID030,136,Create sections and close each section with a transition,TUTORIAL 3,I did/saw this in the past,2,0,1,0,4,7,3
1491,LstudyID030,260,visuals are important,TUTORIAL 3,I did/saw this in the past,0,0,0,0,2,2,0
1493,LstudyID030,365,rehearsing is important,TUTORIAL 3,I did/saw this in the past,0,0,0,0,1,1,0
1145,LstudyID242,1,Powerpoint presentations can be distracting and possibly misleading. If used incorrectly they can actually detract from the message that you are trying to convey. Traditional powerpoint users overload the slides and do not allow viewers a chance t focus on the key point. Powerpoint presentations are not always necessary and other presentation methods are just as suitable. When using powerpoint less is more,TUTORIAL 1,I did/saw this in the past,5,2,0,1,12,20,7
1146,LstudyID242,42,First and last points of presentation are those best remembered. Middle points often are forgotten,TUTORIAL 2,I did/saw this in the past,1,1,0,1,2,5,2
1169,LstudyID491,36,I have actually seen this video before and have used it when preparing for a presentation,TUTORIAL 3,I did/saw this in the past,0,1,0,0,3,4,1
1166,LstudyID491,102,I try to consciously remember this - it's very easy to get lost when designing presentations by thinking that more images or more text will help to better explain yout point,TUTORIAL 1,I did/saw this in the past,1,2,0,1,4,8,3
1529,LstudyID912,312,"I'm aware that I don't hold enough eye contact, but it's difficult for me to do - I tend to scan the audience instead",TUTORIAL 4,I did/saw this in the past,1,0,1,0,1,3,2
1517,LstudyID912,49,That does sound like quite a few presentations that I've done before...,TUTORIAL 1,I did/saw this in the past,1,2,2,0,1,6,5
806,UCT18,124,Interesting that he gives a summary of some of the points in his talk as an opener. And effective,TUTORIAL 2,I did/saw this in the past,0,0,0,0,1,1,0
1328,UCT19,308,Eye contact  is important,TUTORIAL 4,I did/saw this in the past,0,0,0,0,1,1,0
908,UCT19,281,provide context,TUTORIAL 3,I did/saw this in the past,0,0,1,0,1,2,1
1553,UCT20,173,"Apologising for technical difficulties, predictable introductions... this has definitely been me. I will definitely be thinking of engaging ways to begin conference presentations in future.",TUTORIAL 2,I did/saw this in the past,1,0,0,0,1,2,1
1226,UCT37,75,"The ""story approach"" is something I already try to do.",TUTORIAL 1,I did/saw this in the past,1,1,1,0,4,7,3
1334,UCT39,125,"This is my main problem, a lack of confidence, the way we stand I can still control and force myself, but breathing I find very difficult to control€ I do Pilates and yoga, believe this can help..",TUTORIAL 4,I did/saw this in the past,1,0,0,1,4,6,1
1336,UCT39,223,"I force myself to smile as much I can, it is may be forced smile, but I try to do it as often as I can",TUTORIAL 4,I did/saw this in the past,1,1,0,1,1,4,2
1335,UCT39,177,adding a tone variations to my speech I find the most difficult,TUTORIAL 4,I did/saw this in the past,1,0,0,1,1,3,1
1320,UCT39,70,"Usually, I used to open some of my presentations with few sentences about myself, remember once was very successful and this how people remember me later on the conference, I guess depend on your audience or purpose€",TUTORIAL 2,I did/saw this in the past,1,1,0,0,3,5,2
977,UCW11,10,structure the presentation,TUTORIAL 1,I did/saw this in the past,2,1,0,0,7,10,3
979,UCW11,280,Effective use of words is must,TUTORIAL 2,I did/saw this in the past,0,0,0,0,2,2,0
789,UCW15,145,Using the notes section on Powerpoint can backfire if the person setting you up doesn't use presenter view and you haven't memorised those notes,TUTORIAL 1,I did/saw this in the past,2,2,0,1,2,7,4
786,UCW15,39,"Busy, complex charts feature heavily in scientific presentations, and often cause people to miss the point and get confused",TUTORIAL 1,I did/saw this in the past,2,3,0,1,9,15,5
1261,UCW4,163,speak with a slow and an understandable pace.,TUTORIAL 4,I did/saw this in the past,1,1,0,0,1,3,2
1259,UCW4,95,use hands to gesture and add impact on my speech,TUTORIAL 4,I did/saw this in the past,2,0,0,0,2,4,2
1168,UCW5,66,"I did do some of what Jim used to do in the past.It also confirms the need to practise, practise, practise to get it great.",TUTORIAL 1,I did/saw this in the past,3,1,0,0,3,7,4
1496,LstudyID514,100,"Good to consider alternative ways of giving presentations, other than power point.",TUTORIAL 1,I didnt realize I wasnt doing this,1,1,0,1,2,5,2
1497,LstudyID514,66,Very interesting,TUTORIAL 2,I didnt realize I wasnt doing this,0,0,0,0,2,2,0
1523,LstudyID912,136,signpost the structure of the presentation verbally,TUTORIAL 3,I didnt realize I wasnt doing this,1,1,0,0,2,4,2
1528,LstudyID912,245,"I want to work on incorporating more pauses, but I'm always afraid of running out of time",TUTORIAL 4,I didnt realize I wasnt doing this,0,1,0,0,3,4,1
1522,LstudyID912,64,"""single headline"" is the story that runs through the presentation; important to make sure the presentation clearly communicates it",TUTORIAL 3,I didnt realize I wasnt doing this,2,0,0,0,8,10,2
1526,LstudyID912,56,I didn't notice until now how much I tend to move around during a presentation,TUTORIAL 4,I didnt realize I wasnt doing this,0,0,1,0,2,3,1
1520,LstudyID912,303,So beginning needs to really catch your attention - some trivia or interesting statistics seem to work,TUTORIAL 2,I didnt realize I wasnt doing this,0,0,0,0,2,2,0
1005,UCM33,311,Like live show that is is cool.,TUTORIAL 3,I didnt realize I wasnt doing this,0,0,0,0,1,1,0
1325,UCT19,201,Stance is an interesting concept and definitely new to me,TUTORIAL 4,I didnt realize I wasnt doing this,1,0,1,0,1,3,2
1555,UCT20,297,"I recently did a presentation with minimal notes to ensure that I was making lots of eye contact and varying my voice in a more natural way. Watching this, I think I probably did a lot of distracting things with movement and posture.",TUTORIAL 4,I didnt realize I wasnt doing this,1,0,0,0,1,2,1
1243,UCT37,357,"Summary: Stance, sound, smile, silence, sight",TUTORIAL 4,I didnt realize I wasnt doing this,0,0,0,0,1,1,0
793,UCW15,314,5-7 seconds of eye contact,TUTORIAL 4,I didnt realize I wasnt doing this,1,0,0,0,1,2,1
790,UCW15,113,Don't make your introduction too short,TUTORIAL 2,I didnt realize I wasnt doing this,0,1,1,0,0,2,2
792,UCW15,126,Make the transitions between your outline items clear,TUTORIAL 3,I didnt realize I wasnt doing this,2,0,0,0,2,4,2
1263,UCW4,172,use variations (high tone and low tone),TUTORIAL 4,I didnt realize I wasnt doing this,2,0,0,0,2,4,2
1265,UCW4,272,use silence,TUTORIAL 4,I didnt realize I wasnt doing this,0,0,0,0,1,1,0
1239,UCW4,449,give priotity to the first and last three minutes.,TUTORIAL 2,I didnt realize I wasnt doing this,0,0,0,0,2,2,0
1257,UCW4,61,firm stable stand,TUTORIAL 4,I didnt realize I wasnt doing this,0,0,1,0,1,2,1
1246,UCW4,175,wow your audience,TUTORIAL 3,I didnt realize I wasnt doing this,0,1,0,0,1,2,1
1249,UCW4,273,paint a simple picture that does't overwhelm,TUTORIAL 3,I didnt realize I wasnt doing this,1,0,1,0,2,4,2
1170,UCW5,49,I've been doing openings well but not proper closings,TUTORIAL 2,I didnt realize I wasnt doing this,2,0,2,0,2,6,4
1487,LstudyID030,447,providing good summary at the end is important.,TUTORIAL 2,I like this point,0,0,0,0,1,1,0
1486,LstudyID030,307,I need to include the reason why the research is important at the beginning of the talk.,TUTORIAL 2,I like this point,2,0,0,0,3,5,2
1485,LstudyID030,38,I was not aware of this. Interesting that the beginning and end is important,TUTORIAL 2,I like this point,1,0,0,0,2,3,1
1484,LstudyID030,118,This is really good advice!,TUTORIAL 1,I like this point,1,1,1,0,1,4,3
1492,LstudyID030,326,Identify memorable moment,TUTORIAL 3,I like this point,0,0,0,0,1,1,0
1494,LstudyID030,272,Pauses and silence is important when presenting,TUTORIAL 4,I like this point,0,1,0,0,1,2,1
1490,LstudyID030,252,make numbers meaningful for the audience to understand,TUTORIAL 3,I like this point,0,0,0,0,3,3,0
1488,LstudyID030,103,creating headlines,TUTORIAL 3,I like this point,1,0,0,0,2,3,1
1167,LstudyID491,170,I really like that she started with story - very interesting,TUTORIAL 2,I like this point,1,0,0,0,3,4,1
1171,LstudyID491,244,I have never had cause to discuss numbers in a presentation but this is an excellent point and I will definitely consider this in the future,TUTORIAL 3,I like this point,0,0,0,0,2,2,0
1501,LstudyID514,303,Tell a memorable story can be a good way to start a presentation.,TUTORIAL 2,I like this point,0,0,0,0,2,2,0
1495,LstudyID514,88,"This is interesting, staying low tech to help think more creatively.",TUTORIAL 1,I like this point,0,0,0,0,4,4,0
1079,LstudyID855,113,"ok, but I'm giving a technical talk, not talking about something so dramatic",TUTORIAL 2,I like this point,0,0,1,1,3,5,1
1080,LstudyID855,438,I like the idea of working from the conclusion backward,TUTORIAL 2,I like this point,0,0,0,0,2,2,0
1077,LstudyID855,70,"this is something that I've been thinking, that you need to have a narrative to engage people's attention, but I had no idea how to go about it",TUTORIAL 1,I like this point,5,0,0,0,6,11,5
1521,LstudyID912,432,Good point - start preparations with go-home message and then make sure that the whole presentation leads to it,TUTORIAL 2,I like this point,1,1,0,0,1,3,2
1518,LstudyID912,83,Useful tip - start with pen and paper to play with initial ideas,TUTORIAL 1,I like this point,0,0,0,0,5,5,0
1519,LstudyID912,112,Useful tip - one idea per slide,TUTORIAL 1,I like this point,2,0,1,0,1,4,3
1525,LstudyID912,282,Including more visuals is something I want to work on,TUTORIAL 3,I like this point,0,0,0,0,2,2,0
1527,LstudyID912,162,Good tip about relaxing posture to help with speaking clearly,TUTORIAL 4,I like this point,1,0,0,0,2,3,1
1008,UCM33,25,"Wow! i did not know that silence is also among the confident trait, but how can?",TUTORIAL 4,I like this point,1,1,0,0,3,5,2
1007,UCM33,402,'One more thing' I think i will take that point because it captures your audience attention.,TUTORIAL 3,I like this point,0,0,0,0,1,1,0
1010,UCM33,97,OK. i think i got her message now is not that you keep totally still but compose your self and present it maturely.,TUTORIAL 4,I like this point,0,0,0,0,1,1,0
1003,UCM33,147,"Making it easy for your audience to follow you by identifying the theme. Educating, as a research student i am getting the tips on the best way to do my presentation better than i know before.",TUTORIAL 3,I like this point,0,0,0,0,3,3,0
1006,UCM33,339,0,TUTORIAL 3,I like this point,0,0,0,0,0,0,0
1002,UCM33,444,Knowing how to Open and closing presentation is the key to a successful presentation.Happy to be watching this.,TUTORIAL 2,I like this point,0,0,0,0,1,1,0
1001,UCM33,314,Before now i think that it is from the center/middle of a presentation (where you explain your methodology and all that stuffs and the conclusion)is the important thing but now i now that the first and last things you say is one the audience remembers must. This is very educating and good for me.,TUTORIAL 2,I like this point,0,0,0,0,3,3,0
999,UCM33,149,"Wow!how to begin a presentation speech, in fact that is so interesting. I must say that i have learnt how to open my presentation, not that i don't know how but just got another powerful insight on that.",TUTORIAL 2,I like this point,0,0,0,0,1,1,0
993,UCM33,161,This is a good tutorial and i even learnt to have points on paper only me can see instead of having alot of texts on the slides.This is good.,TUTORIAL 1,I like this point,1,0,0,0,2,3,1
1009,UCM33,58,"But i initially thought that if you are moving your body some how it indicates confidence, now is a kind of staying still is the trait. Well am learning.",TUTORIAL 4,I like this point,0,0,0,0,3,3,0
810,UCT18,402,like the 'one more thing' idea,TUTORIAL 3,I like this point,0,0,0,0,0,0,0
809,UCT18,325,Good idea to work towards a memorable moment,TUTORIAL 3,I like this point,0,1,0,0,3,4,1
807,UCT18,434,I like this idea of keeping the end goal in mind first and then working towards it.,TUTORIAL 2,I like this point,2,0,0,0,0,2,2
805,UCT18,86,I like the idea of only using props / visual aids if you need them to tell your story - and otherwise leaving them out,TUTORIAL 1,I like this point,0,0,0,0,4,4,0
812,UCT18,137,I need to think about my posture to help projection,TUTORIAL 4,I like this point,0,0,0,0,2,2,0
811,UCT18,104,Nice points about keeping your arms at your side for gesturing,TUTORIAL 4,I like this point,0,1,0,0,1,2,1
906,UCT19,286,The presenter tells a story that the audience can identify with thus helping them engage with the presentation immediately.,TUTORIAL 2,I like this point,0,0,0,0,2,2,0
1327,UCT19,244,The use of silence in a presentation,TUTORIAL 4,I like this point,0,0,1,0,1,2,1
909,UCT19,283,Make numbers mean something,TUTORIAL 3,I like this point,0,0,0,0,2,2,0
907,UCT19,279,Provide an outline,TUTORIAL 3,I like this point,0,0,1,0,1,2,1
913,UCT19,404,importance of an encore,TUTORIAL 3,I like this point,0,0,0,0,1,1,0
905,UCT19,164,The amount of preplanning that goes on prior to developing a PowerPoint presentation is greater than my usual experience,TUTORIAL 1,I like this point,0,1,0,0,3,4,1
910,UCT19,290,The importance of transitions,TUTORIAL 3,I like this point,0,2,0,0,2,4,2
1552,UCT20,132,"It's good to be reminded that people can't really listen to what I'm saying while they read a slide. I always try to avoid reading lots of information off slides because people can read faster than what I'm saying aloud, but maybe I include too much text on my slides for independent reading while I talk.",TUTORIAL 1,I like this point,2,0,0,0,2,4,2
1554,UCT20,406,I really like the idea of using only one number or image on a slide and keeping the visuals powerful but simple.,TUTORIAL 3,I like this point,0,0,0,0,1,1,0
1229,UCT37,119,"Provide an outline for presentation using verbal signposts (e.g., ""...and that's the first thing I want to share with you today."")",TUTORIAL 3,I like this point,3,0,0,0,5,8,3
1227,UCT37,439,Summary: prioritise the first and last three minutes of a talk to capitalise on the primacy-recency effect.,TUTORIAL 2,I like this point,0,1,0,0,1,2,1
824,UCT38,375,one last thing:),TUTORIAL 3,I like this point,0,0,0,0,1,1,0
825,UCT38,274,thats a good idea to use silence.Brilliant,TUTORIAL 4,I like this point,0,0,0,0,2,2,0
1313,UCT39,32,I did not know that the beginning and the end of presentation is so important and that this will make the most impact on the audience,TUTORIAL 2,I like this point,1,1,1,0,2,5,3
1329,UCT39,245,"Make numbers meaningful, as I used a lot of numbers and charts, I never thought to make them meaningful. For example, I had a statement saying the trade between NZ and the EU is $20 billions€next time I will try to compare it with something or to say this is 3 times as NZ and China for example€",TUTORIAL 3,I like this point,3,0,0,0,2,5,3
1301,UCT39,39,"Agree with the point that power pint is useful tool for giving a presentation, it helps me to remember what I should say, to stay on the track and not forget something",TUTORIAL 1,I like this point,3,2,0,0,6,11,5
1310,UCT39,135,"Regarding having a good structure, I am used to draw the main ideas and try to make a good structure on the A3 paperThis is great idea, to hide your notes, I will include this in my presentation next time.",TUTORIAL 1,I like this point,2,0,0,0,3,5,2
1326,UCT39,112,"Give the reason to your audience to listen, I never used it before, would like to implement the very next time",TUTORIAL 3,I like this point,2,0,0,0,3,5,2
1337,UCT39,276,"Silence is the best point, will implement for sure",TUTORIAL 4,I like this point,0,0,0,0,1,1,0
1323,UCT39,302,"I like very much the way of telling a story or making a parallel with sports and engaging the audience  with questions, will try to do this next time",TUTORIAL 2,I like this point,0,0,0,0,2,2,0
1324,UCT39,429,"Like very much how the second presenter finished his presentation, it was so effective and gave a clear msg to the audience, focus..",TUTORIAL 2,I like this point,0,0,0,0,2,2,0
980,UCW11,390,Summing up the presentation is most important. Go with less pace.,TUTORIAL 2,I like this point,0,0,0,1,2,3,0
982,UCW11,174,"use energetic words such as awesome, unbelievable, etc. to electrify the audience",TUTORIAL 3,I like this point,0,0,1,0,2,3,1
985,UCW11,362,"stances, sight, sound, silence, smile",TUTORIAL 4,I like this point,0,0,0,0,1,1,0
983,UCW11,244,make numbers meaningful for the audience,TUTORIAL 3,I like this point,0,0,0,0,2,2,0
976,UCW11,6,practice thoroughly,TUTORIAL 1,I like this point,3,0,1,0,10,14,4
978,UCW11,279,good beginning is must to get the confidence,TUTORIAL 2,I like this point,1,0,0,0,3,4,1
785,UCW15,36,I hate when people put an outline of their points on their slides,TUTORIAL 1,I like this point,1,0,0,9,6,16,1
791,UCW15,435,"Create your close first, before preparing the rest of the presentation",TUTORIAL 2,I like this point,0,0,0,0,1,1,0
787,UCW15,96,"I like the idea of using handouts, as it gives people a chance to take material away with them",TUTORIAL 1,I like this point,0,1,1,2,1,5,2
788,UCW15,111,One idea per slide is really effective,TUTORIAL 1,I like this point,1,0,1,0,2,4,2
1422,UCW2,2,"Some of the techniques mentioned may bring on counter effects for different occasion, like being too hard selling. However, I do like the idea of putting numbers into context for the audience. However, the context will be audience dependent.",TUTORIAL 3,I like this point,1,1,0,0,7,9,2
1241,UCW4,12,make numbers meaningful,TUTORIAL 3,I like this point,0,0,0,0,5,5,0
1248,UCW4,247,put the numbers into particular context to make it meaningful,TUTORIAL 3,I like this point,1,0,0,0,1,2,1
1252,UCW4,283,short on bullet points and big on visual,TUTORIAL 3,I like this point,0,0,0,0,3,3,0
1228,UCW4,115,"like the point: less is more, telling a story to engage audience (begin, middle, end with cohesion).",TUTORIAL 1,I like this point,1,0,0,0,3,4,1
1267,UCW4,309,"have eye contact with audience just like a one to one conversation, decrease the distance with them, make sure not to scan the audience.",TUTORIAL 4,I like this point,1,0,1,0,1,3,2
1179,UCW5,347,I never knew even seasoned presenters rehearse!,TUTORIAL 3,I like this point,0,0,0,1,0,1,0
1172,UCW5,109,Great opening!,TUTORIAL 2,I like this point,1,0,0,1,1,3,1
1181,UCW5,123,I like using gestures. Makes me do less nervous things during presentation,TUTORIAL 4,I like this point,0,2,0,0,3,5,2
1182,UCW5,248,"Not enough pauses, that is so true",TUTORIAL 4,I like this point,0,1,0,0,1,2,1
1178,UCW5,181,"Great advice to ""get loose"" during presentations although that's hard to do if you're stressed by presenting!",TUTORIAL 3,I like this point,0,2,0,0,2,4,2
1508,LstudyID030,67,makes good pauses,EXAMPLE 3,No Aspect Selected,0,0,1,0,1,2,1
1483,LstudyID030,49,Yes true. I also use Power point :-),TUTORIAL 1,No Aspect Selected,1,0,2,0,2,5,3
1154,LstudyID242,50,"jumpy, breathless, fidgety, distracting. does not seem rehearsed",EXAMPLE 3,No Aspect Selected,1,0,0,0,4,5,1
1156,LstudyID242,43,quickly states some shocking statistics to outline the problem,EXAMPLE 4,No Aspect Selected,2,0,0,0,2,4,2
1149,LstudyID242,242,relatable topics are key and help understanding,TUTORIAL 2,No Aspect Selected,0,1,0,0,1,2,1
1153,LstudyID242,197,"pace good, interesting presentation, annoying fidgeting",EXAMPLE 2,No Aspect Selected,0,0,1,0,3,4,1
1152,LstudyID242,271,less is more,TUTORIAL 3,No Aspect Selected,1,0,0,0,2,3,1
1151,LstudyID242,175,show passion.,TUTORIAL 3,No Aspect Selected,0,0,1,0,2,3,1
1155,LstudyID242,205,erratic,EXAMPLE 3,No Aspect Selected,0,0,2,1,0,3,2
1147,LstudyID242,103,Start out with something shocking....easy to remember. Grab the viewers attention,TUTORIAL 2,No Aspect Selected,0,0,0,1,3,4,0
1148,LstudyID242,154,use examples people can relate to.,TUTORIAL 2,No Aspect Selected,1,0,0,0,2,3,1
1157,LstudyID242,141,simple language. understandable by a mixed audience,EXAMPLE 4,No Aspect Selected,0,0,0,0,2,2,0
1502,LstudyID514,446,"This seemed to be pitched at commercial presentations, not academic ones...",TUTORIAL 2,No Aspect Selected,0,1,0,0,2,3,1
1081,LstudyID855,368,telling us to present like Steve Jobs is like telling us to run fast like Usain Bolt,TUTORIAL 3,No Aspect Selected,0,0,1,1,1,3,1
1078,LstudyID855,161,great presentation means promotion? this is rather simplistic,TUTORIAL 1,No Aspect Selected,0,1,0,1,3,5,1
1534,LstudyID912,60,"He's speaking a bit fast, but he does make pauses, so it's still easy to follow",EXAMPLE 3,No Aspect Selected,0,0,0,0,2,2,0
1036,UCM33,43,OK. this is a good start/how to start a good and confident presentation if i go by the what i learnt from Video No 3 and 4. This presentation is in fact very interesting so far.,EXAMPLE 4,No Aspect Selected,1,0,0,0,3,4,1
1011,UCM33,186,This the area i do not get 100% the speaking methods,TUTORIAL 4,No Aspect Selected,0,0,1,0,0,1,1
1013,UCM33,43,"OK. that opining method to me is not 100% correct because he is not showing it to the audience but rather just said''as it is in my slide'' even if it is in the slide i think you can as well point it , so that the audience can see it, it will make them follow your presentation just like Video No 2 indicates.",EXAMPLE 1,No Aspect Selected,0,1,1,1,0,3,2
813,UCT18,188,Hadn't thought about using variations in pitch / volume to give dynamics,TUTORIAL 4,No Aspect Selected,1,1,1,0,0,3,3
820,UCT18,128,nice infographics to illustrate data,EXAMPLE 3,No Aspect Selected,0,1,0,0,0,1,1
912,UCT19,350,Practice the presentation,TUTORIAL 3,No Aspect Selected,0,0,0,0,1,1,0
911,UCT19,323,Idntify the one,TUTORIAL 3,No Aspect Selected,0,1,0,0,1,2,1
1366,UCT25,213,raising a question to the audience is an effective way to involve the audience to the presentation.,TUTORIAL 2,No Aspect Selected,1,0,0,0,3,4,1
1367,UCT25,425,brief and concise conclusion is more powerful and more impressive.,TUTORIAL 2,No Aspect Selected,0,0,0,0,2,2,0
1364,UCT25,136,Hiding more notes in one's own notes is a good method.,TUTORIAL 1,No Aspect Selected,1,0,0,0,2,3,1
1373,UCT25,317,visuals are more memorable,TUTORIAL 3,No Aspect Selected,0,0,0,0,4,4,0
1411,UCT25,381,"stance, sound, smile, silence and sight are quite important in speaking",TUTORIAL 4,No Aspect Selected,0,0,0,0,2,2,0
1365,UCT25,172,Using some facts and stories as the beginning of a presentation could attract the attention of audience.,TUTORIAL 2,No Aspect Selected,1,0,0,0,3,4,1
1368,UCT25,58,setting the theme in the beginning of a presentation could catch the eyes of the audience.,TUTORIAL 3,No Aspect Selected,3,0,0,0,3,6,3
1371,UCT25,174,enthusiasm helps a lot attract audience's attention.,TUTORIAL 3,No Aspect Selected,0,0,0,0,5,5,0
1372,UCT25,232,numbers are more catchy,TUTORIAL 3,No Aspect Selected,0,0,0,0,2,2,0
1370,UCT25,144,clear outline and transitions between previous and the following parts could help audience follow your theme.,TUTORIAL 3,No Aspect Selected,0,1,0,0,2,3,1
1369,UCT25,90,"making the theme clear is very important, for most of the audience are not so patient.",TUTORIAL 3,No Aspect Selected,1,0,0,0,3,4,1
1415,UCT25,401,The presentation is quite interesting and vivid by using pictures and numbers.,EXAMPLE 3,No Aspect Selected,0,0,0,0,2,2,0
1362,UCT25,54,"Actually, most of the time I will use these methods, charts, tables, but the effect was not so good.",TUTORIAL 1,No Aspect Selected,1,1,0,2,4,8,2
1363,UCT25,101,"Less is more, the idea is very inspiring for me.",TUTORIAL 1,No Aspect Selected,1,0,0,0,4,5,1
823,UCT38,100,Exactly. Less is more!,TUTORIAL 1,No Aspect Selected,0,0,0,0,5,5,0
1393,UCW10,103,L,TUTORIAL 1,No Aspect Selected,0,1,0,1,0,2,1
1392,UCW10,103,Less is more! This point is very important to draw audiences interesting.,TUTORIAL 1,No Aspect Selected,1,0,0,0,3,4,1
1418,UCW10,159,"Using clear structure, consistently! But speak too far, sometime cannot get the main point. His tone didn't change significantly. Visual tools were used appropriately.",EXAMPLE 3,No Aspect Selected,0,0,1,0,1,2,1
1416,UCW10,146,"Using clear structure, consistently! But speak too far, sometime cannot get the point.",EXAMPLE 3,No Aspect Selected,0,1,1,0,0,2,2
1414,UCW10,53,Making a good open presentation. Using visual tool to present data.,EXAMPLE 2,No Aspect Selected,0,0,0,0,2,2,0
1419,UCW10,222,"Using clear structure, consistently! But speak too far, sometime cannot get the main point. His tone changed significantly. Visual tools were used appropriately.",EXAMPLE 3,No Aspect Selected,0,0,1,0,1,2,1
1404,UCW10,102,Make the theme clear and consistent! Create a headline that sets the direction for your presentation!,TUTORIAL 3,No Aspect Selected,3,0,0,0,3,6,3
1403,UCW10,88,Make the theme clear and consistent!,TUTORIAL 3,No Aspect Selected,1,1,0,0,1,3,2
975,UCW11,163,Practice thoroughly,TUTORIAL 1,No Aspect Selected,1,1,1,0,1,4,3
973,UCW11,112,one idea per slide,TUTORIAL 1,No Aspect Selected,1,0,1,0,2,4,2
972,UCW11,92,Structure the presentation beginning - middle - end,TUTORIAL 1,No Aspect Selected,0,0,0,0,5,5,0
974,UCW11,140,hide notes from people in the slides,TUTORIAL 1,No Aspect Selected,1,0,0,0,3,4,1
1233,UCW4,35,primacy-recency effect,TUTORIAL 2,No Aspect Selected,2,0,0,1,3,6,2
1231,UCW4,23,I need a good beginning and good ending for a presentation and put then together.,TUTORIAL 2,No Aspect Selected,1,0,0,0,6,7,1
1294,UCW4,188,passionate speaker,EXAMPLE 3,No Aspect Selected,0,1,0,0,1,2,1
1202,UCW5,198,"Great confident delivery of message with gestures, stress and tone of voice and pauses and presentation slide",EXAMPLE 4,No Aspect Selected,1,0,0,0,2,3,1
1417,UCW10,154,"Using clear structure, consistently! But speak too far, sometime cannot get the main point. His tone didn't change significantly.",EXAMPLE 3,No Aspect Selected,1,0,2,0,0,3,3
1412,UCT25,200,"In my opinion, this presentation is not so organized and clear. The presenter just used one slide in his whole presentation. He did not give concise theme of his presentation in the beginning.",EXAMPLE 1,No Aspect Selected,0,0,0,4,1,5,0
1421,UCT25,205,"The presentation is quite clear and organized, though I am not so familiar with the terms in medicine.",EXAMPLE 4,No Aspect Selected,0,0,0,0,4,4,0
1420,UCW10,291,"Using clear structure, consistently! But speak too far, sometime cannot get the main point. His tone changed significantly, that's good, because I could realize some primary points. Visual tools were used appropriately.",EXAMPLE 3,No Aspect Selected,0,0,0,0,2,2,0
1413,UCT25,500,"I think this presentation is quite vivid. The presenter used lots of methods to attract the audience's attention, charts, pictures, animations.",EXAMPLE 2,No Aspect Selected,1,0,0,0,2,3,1
1499,LstudyID030,65,nice pauses in speech,EXAMPLE 1,Speech,0,0,0,1,2,3,0
1509,LstudyID030,183,feels a bit nervous,EXAMPLE 3,Speech,0,1,0,0,1,2,1
1190,LstudyID491,44,Carefully outlining whats to come,EXAMPLE 2,Speech,2,1,0,0,4,7,3
1189,LstudyID491,497,Enthusiastic and engaging ending - leaves the audience thinking,EXAMPLE 2,Speech,1,0,0,0,2,3,1
1564,LstudyID514,144,He talks too fast,EXAMPLE 3,Speech,0,0,0,0,0,0,0
1537,LstudyID912,39,"A very standard intro, doesn't really catch attention",EXAMPLE 4,Speech,1,0,0,0,5,6,1
1536,LstudyID912,400,Good closing!,EXAMPLE 3,Speech,0,0,0,0,1,1,0
1532,LstudyID912,93,Very good intonation,EXAMPLE 2,Speech,0,1,1,0,1,3,2
1017,UCM33,219,"If i go with what i learnt from the Video 5th, i will just say that this Sir Tim Berner is a little nervous, you can see it on his face but he got a great presentation there which is can be related to Speech and little Visual aids if compared to No 6th Video (TED-woman presenter)",EXAMPLE 3,Speech,0,0,1,0,1,2,1
1032,UCM33,252,"Correction to the previous comment-If i go with what i learnt from the Video No 2 and , i will just say that Sir Tim Berner is a little nervous, but he got a great presentation there, which can be related as Speech and little Visual aids if compared to No 6th Video (TED-woman presenter) which is completely Visual aids.Great and good speech though.",EXAMPLE 3,Speech,0,0,0,0,2,2,0
1014,UCM33,200,This is more like speech,EXAMPLE 1,Speech,0,0,1,0,0,1,1
821,UCT18,177,Stumbles  -doesn't seem sure of next point?,EXAMPLE 3,Speech,0,0,1,0,0,1,1
1549,UCT19,212,His speech is difficult to follow,EXAMPLE 3,Speech,0,0,0,0,2,2,0
1551,UCT19,165,clear presentation she manages to present what would have been potentially a difficult subject in  a very clear and simple manner  that is easily understood by the audience,EXAMPLE 4,Speech,1,0,0,0,2,3,1
1550,UCT19,384,An excellent conclusion that is also a call for action,EXAMPLE 3,Speech,0,0,1,0,2,3,1
1561,UCT20,80,I'm really enjoying the pace of this presentation. The words are clear and the voice tone engaging.,EXAMPLE 4,Speech,3,0,0,0,3,6,3
1346,UCT39,362,In his speech he highlights the con and pro and at the end he realised the room for improvement. Visual effects were good and supported his speech. Last part was very effective.,EXAMPLE 3,Speech,0,0,0,1,3,4,0
990,UCW11,116,good command over language,EXAMPLE 4,Speech,1,0,0,0,1,2,1
991,UCW11,117,very confident,EXAMPLE 4,Speech,1,0,0,0,1,2,1
797,UCW15,135,Use of analogy,EXAMPLE 1,Speech,0,0,0,0,1,1,0
801,UCW15,430,"""Why should I care about this"" relates talk back to audience",EXAMPLE 2,Speech,1,1,0,0,2,4,2
796,UCW15,109,Use of humour,EXAMPLE 1,Speech,0,0,0,0,1,1,0
1563,UCW15,69,Delivering facts in the context of a story,EXAMPLE 3,Speech,0,0,0,0,2,2,0
1423,UCW2,2,She talks too fast and not interact with the audiences. I can hardly follow her.,EXAMPLE 4,Speech,0,1,2,3,0,6,3
1279,UCW4,220,using variation on speed and voice.,EXAMPLE 2,Speech,0,0,0,0,2,2,0
